scenario,inference_runtime,inference_idealized_runtime,inference_runtime_discrepancy,num_prompt_tokens,num_perplexity_tokens,num_output_tokens,finish_reason_length,finish_reason_stop,finish_reason_endoftext,finish_reason_unknown,exact_match
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=2,model=ai21_j1-large",0.5986398697,0.071,0.5276398697,512,2,2,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1536,num_output_tokens=64,model=ai21_j1-large",2.908870816,1.645,1.263870816,1536,64,64,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1536,num_output_tokens=2,model=ai21_j1-grande",1.641138625,,,1536,2,2,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=4,model=ai21_j1-jumbo",1.042572141,0.499,0.5435721407,1024,4,4,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1536,num_output_tokens=1,model=ai21_j1-grande",1.759978747,,,1536,1,1,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=4,model=ai21_j1-large",0.9338877439,0.161,0.7728877439,1024,4,4,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=64,model=ai21_j1-large",1.982310271,1.559,0.4233102713,512,64,64,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1536,num_output_tokens=2,model=ai21_j1-jumbo",1.42012465,0.514,0.90612465,1536,2,2,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=32,model=ai21_j1-jumbo",2.094403028,2.149,-0.05459697151,512,32,32,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=1,model=ai21_j1-large",0.315170455,0.026,0.289170455,1,1,1,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=1,model=ai21_j1-large",0.5751299858,0.047,0.5281299858,512,1,1,1,0,0,0,0
