scenario,inference_runtime,inference_idealized_runtime,inference_runtime_discrepancy,num_prompt_tokens,num_perplexity_tokens,num_output_tokens,finish_reason_length,finish_reason_stop,finish_reason_endoftext,finish_reason_unknown,exact_match
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=4,model=ai21_j1-large",0.5849167824,0.119,0.4659167824,512,4,4,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=2,model=ai21_j1-grande",0.5848522425,,,512,2,2,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1536,num_output_tokens=8,model=ai21_j1-large",1.264359641,0.301,0.9633596411,1536,8,8,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=64,model=ai21_j1-jumbo",5.345218849,4.339,1.006218849,1024,64,64,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=64,model=ai21_j1-large",1.7588341,1.538,0.2208340998,1,64,64,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1536,num_output_tokens=32,model=ai21_j1-jumbo",3.599796867,2.434,1.165796867,1536,32,32,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1536,num_output_tokens=16,model=ai21_j1-large",1.642773032,0.493,1.149773032,1536,16,16,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=4,model=ai21_j1-jumbo",0.5772537231,0.262,0.3152537231,1,4,4,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=8,model=ai21_j1-jumbo",0.8791004896,0.613,0.2661004896,512,8,8,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=8,model=ai21_j1-large",0.4616316319,0.194,0.2676316319,1,8,8,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=16,model=ai21_j1-large",1.003217816,0.449,0.5542178164,1024,16,16,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=1,model=ai21_j1-jumbo",0.640414834,0.165,0.475414834,512,1,1,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=2,model=ai21_j1-jumbo",0.9023900509,0.371,0.5313900509,1024,2,2,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=64,model=ai21_j1-grande",3.06085515,,,1,64,64,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=64,model=ai21_j1-grande",2.912170744,,,512,64,64,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1536,num_output_tokens=4,model=ai21_j1-jumbo",1.403190494,0.642,0.7611904936,1536,4,4,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=1,model=ai21_j1-jumbo",1.228676724,0.307,0.9216767244,1024,1,1,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=2,model=ai21_j1-jumbo",0.5279524088,0.134,0.3939524088,1,2,2,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=32,model=ai21_j1-jumbo",3.26935935,2.291,0.9783593502,1024,32,32,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=8,model=ai21_j1-grande",1.346616387,,,1,8,8,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=16,model=ai21_j1-large",1.049173951,0.407,0.6421739511,512,16,16,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=4,model=ai21_j1-jumbo",0.8165911674,0.357,0.4595911674,512,4,4,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=8,model=ai21_j1-jumbo",0.7377948523,0.518,0.2197948523,1,8,8,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1536,num_output_tokens=16,model=ai21_j1-jumbo",2.335177255,1.41,0.9251772547,1536,16,16,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=32,model=ai21_j1-jumbo",2.014015913,2.054,-0.03998408699,1,32,32,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1536,num_output_tokens=64,model=ai21_j1-jumbo",6.829295826,4.482,2.347295826,1536,64,64,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=2,model=ai21_j1-grande",0.8462424278,,,1024,2,2,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=16,model=ai21_j1-grande",1.208872414,,,512,16,16,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1536,num_output_tokens=32,model=ai21_j1-large",1.977460766,0.877,1.100460766,1536,32,32,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=64,model=ai21_j1-grande",3.556584573,,,1024,64,64,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1536,num_output_tokens=8,model=ai21_j1-grande",1.28882575,,,1536,8,8,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=64,model=ai21_j1-jumbo",4.236369872,4.197,0.03936987209,512,64,64,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1536,num_output_tokens=32,model=ai21_j1-grande",3.00267694,,,1536,32,32,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=2,model=ai21_j1-jumbo",0.7149258375,0.229,0.4859258375,512,2,2,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=2,model=ai21_j1-large",0.3512247086,0.05,0.3012247086,1,2,2,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=8,model=ai21_j1-jumbo",1.44011507,0.755,0.6851150703,1024,8,8,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=1,model=ai21_j1-jumbo",0.4191900015,0.07,0.3491900015,1,1,1,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=16,model=ai21_j1-grande",0.7664252758,,,1,16,16,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=16,model=ai21_j1-jumbo",1.908943677,1.267,0.6419436769,1024,16,16,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1536,num_output_tokens=2,model=ai21_j1-large",1.282741165,0.157,1.125741165,1536,2,2,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=8,model=ai21_j1-large",0.9903561592,0.257,0.7333561592,1024,8,8,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=32,model=ai21_j1-grande",3.051271129,,,1024,32,32,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=4,model=ai21_j1-grande",1.056143832,,,512,4,4,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=1,model=ai21_j1-grande",0.5628973246,,,512,1,1,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=64,model=ai21_j1-jumbo",3.745500302,4.102,-0.3564996977,1,64,64,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=16,model=ai21_j1-jumbo",1.209502912,1.03,0.1795029116,1,16,16,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=1,model=ai21_j1-large",0.7602490902,0.089,0.6712490902,1024,1,1,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1536,num_output_tokens=4,model=ai21_j1-large",1.052667522,0.205,0.8476675224,1536,4,4,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=64,model=ai21_j1-large",2.208263445,1.601,0.6072634449,1024,64,64,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=4,model=ai21_j1-grande",0.4379584551,,,1,4,4,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=2,model=ai21_j1-grande",2.654771185,,,1,2,2,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=8,model=ai21_j1-large",0.8967825413,0.215,0.6817825413,512,8,8,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1536,num_output_tokens=1,model=ai21_j1-large",1.006208158,0.133,0.8732081575,1536,1,1,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=32,model=ai21_j1-large",1.560003662,0.833,0.7270036621,1024,32,32,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1536,num_output_tokens=8,model=ai21_j1-jumbo",2.730548501,0.898,1.832548501,1536,8,8,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=16,model=ai21_j1-grande",3.268290138,,,1024,16,16,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=32,model=ai21_j1-grande",1.557147026,,,512,32,32,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=1,model=ai21_j1-grande",3.132937884,,,1024,1,1,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=8,model=ai21_j1-grande",1.909655046,,,512,8,8,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=16,model=ai21_j1-jumbo",1.395718908,1.125,0.2707189083,512,16,16,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=4,model=ai21_j1-large",0.3732395649,0.098,0.2752395649,1,4,4,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1536,num_output_tokens=1,model=ai21_j1-jumbo",1.171764183,0.45,0.721764183,1536,1,1,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=16,model=ai21_j1-large",0.7221513033,0.386,0.3361513033,1,16,16,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=32,model=ai21_j1-large",1.33434031,0.791,0.5433403101,512,32,32,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=2,model=ai21_j1-large",0.8015788078,0.113,0.6885788078,1024,2,2,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1536,num_output_tokens=4,model=ai21_j1-grande",1.199375224,,,1536,4,4,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1536,num_output_tokens=64,model=ai21_j1-grande",3.624021673,,,1536,64,64,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=1,model=ai21_j1-grande",0.5957553864,,,1,1,1,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1536,num_output_tokens=16,model=ai21_j1-grande",2.001631236,,,1536,16,16,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=8,model=ai21_j1-grande",3.420897222,,,1024,8,8,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=32,model=ai21_j1-large",0.9384698868,0.77,0.1684698868,1,32,32,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=32,model=ai21_j1-grande",1.243482637,,,1,32,32,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=4,model=ai21_j1-grande",0.9258055449,,,1024,4,4,1,0,0,0,0
